"clm_drg_cd","claim_count","total_paid","avg_paid_per_claim"
"939",253,3516800.00,13900.40
"948",235,3411700.00,14517.87
"949",235,3328000.00,14161.70
"945",244,3318000.00,13598.36
"951",240,3275000.00,13645.83
"946",219,3071100.00,14023.29
"941",219,2982600.00,13619.18
"950",206,2859850.00,13882.77
"864",193,2852000.00,14777.20
"862",192,2845530.00,14820.47
"940",211,2793800.00,13240.76
"854",206,2744300.00,13321.84
"947",205,2740700.00,13369.27
"872",190,2693700.00,14177.37
"853",198,2653900.00,13403.54
