"prvdr_num","claim_count","total_paid","avg_paid_per_claim"
"23006G",772,7280500.00,9430.70
"1000AH",633,6109900.00,9652.29
"3600NG",536,5645000.00,10531.72
"2100WC",399,4037000.00,10117.79
"2600ZT",421,3865890.00,9182.64
"1401RR",431,3859280.00,8954.25
"3400XN",395,3836000.00,9711.39
"0501MA",359,3718000.00,10356.55
"3100JN",315,3567600.00,11325.71
"4500DP",336,3301800.00,9826.79
"1002DC",323,3206400.00,9926.93
"4400MM",300,3033850.00,10112.83
"0400AC",299,2999000.00,10030.10
"1100TC",303,2943000.00,9712.87
"0503SD",296,2859200.00,9659.46
