"sp_state_code","claim_count","total_paid","avg_paid"
"05",5324,49920680.00,9376.54
"10",4748,46363660.00,9764.88
"45",4554,43823000.00,9622.97
"33",4108,39712360.00,9667.08
"14",2986,27624460.00,9251.33
"39",2982,28339980.00,9503.68
"36",2885,28184770.00,9769.42
"23",2471,22994610.00,9305.79
"34",2156,20387660.00,9456.24
"31",2144,21378000.00,9971.08
"11",1987,19141670.00,9633.45
"15",1709,16285710.00,9529.38
"49",1693,16103800.00,9511.99
"26",1568,14798550.00,9437.85
"22",1550,14964090.00,9654.25
